stuffId,Descript,VatRate,EditDateFa,typestuffId,,,,,,,
2330001003174,"خدمات بیمه زندگی/خدمات بیمه زندگی  / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31
/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران",0,14010909,عمومي,,,,,,,
2330001003099,"خدمات حمل و نقل/خدمات حمل و نقل اعم از بار و مسافر  درون و برون شهری وبین المللی دریایی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31
/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران",0,14010909,عمومي,,,,,,,
2330001003532,خدمات توان بخشی و حمایتی/خدمات توان بخشی و حمایتی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003105,"خدمات حمل و نقل/خدمات حمل و نقل اعم از بار و مسافر  درون و برون شهری وبین المللی ریلی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31
/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران",0,14010909,عمومي,,,,,,,
2330001003150,"خدمات بیمه اجتماعی/خدمات بیمه اجتماعی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31
/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران",0,14010909,عمومي,,,,,,,
2330001003518,خدمات درمانی و پیشگیری دامی و گیاهی/خدمات درمانی و پیشگیری دامی و گیاهی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003402,خدمات انتشار/خدمات انتشار روزنامه کاغذی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003112,"خدمات حمل و نقل/خدمات حمل و نقل اعم از بار و مسافر  درون و برون شهری وبین المللی جاده ای / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31
/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران",0,14010909,عمومي,,,,,,,
2330001003495,خدمات کشت بافت گیاهان/خدمات کشت بافت گیاهان / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003396,خدمات انتشار/خدمات انتشار روزنامه الکترونیکی / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31 / شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003082,خدمات آموزشی و پژوهشی و ورزشی/خدمات آموزشی و پژوهشی و ورزشی مطابق مصوبه مربوط توسط مراجع ذیربط  / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
2330001003389,خدمات انتشار/خدمات انتشار کتاب به استثناء کتب کمک آموزشی و کنکور / سازمان امور مالیاتی/اعتبار تا تاریخ 1402/06/31/ شرکت مرکز ملی شماره گذاری کالا و خدمات ایران,0,14010909,عمومي,,,,,,,
